               Omega               SigmaT1               SigmaT2           SigmaOmega1           SigmaOmega2
  0.828305784533E+01    0.735376030207E-01    0.128678660214E+00    0.288809873555E-01    0.131655262333E-03
  0.829825611660E+01    0.170200001448E-01    0.297312390033E-01    0.288939716520E-01    0.131827989472E-03
  0.831345438788E+01    0.349806994200E-01    0.610005771861E-01    0.289076643294E-01    0.131377895649E-03
  0.832865265916E+01    0.812128037214E-01    0.141376615689E+00    0.289211446810E-01    0.131880145527E-03
  0.834385093043E+01    0.122240200639E+00    0.212427316749E+00    0.289354077284E-01    0.131502234191E-03
  0.835904920171E+01    0.159738302231E+00    0.277104904109E+00    0.289494526766E-01    0.132270397982E-03
  0.837424747298E+01    0.195824205875E+00    0.339106380688E+00    0.289642466456E-01    0.132023737055E-03
  0.838944574426E+01    0.232368394732E+00    0.401676739001E+00    0.289793048380E-01    0.131946720308E-03
  0.840464401553E+01    0.270142406225E+00    0.466141767468E+00    0.289945286633E-01    0.132155992389E-03
  0.841984228681E+01    0.307864308357E+00    0.530280692938E+00    0.290101754874E-01    0.132138463862E-03
  0.843504055809E+01    0.341789096594E+00    0.587653703388E+00    0.290259906573E-01    0.132237919171E-03
  0.845023882936E+01    0.366883814335E+00    0.629657245093E+00    0.290420760648E-01    0.132525492860E-03
  0.846543710064E+01    0.379430592060E+00    0.650003878627E+00    0.290586852733E-01    0.132419503033E-03
  0.848063537191E+01    0.378935903311E+00    0.647966988479E+00    0.290757479453E-01    0.132121263680E-03
  0.849583364319E+01    0.367533713579E+00    0.627311705269E+00    0.290923509998E-01    0.133155959347E-03
  0.851103191447E+01    0.347965210676E+00    0.592811575606E+00    0.291103573007E-01    0.132117813635E-03
  0.852623018574E+01    0.322603195906E+00    0.548579669679E+00    0.291275940602E-01    0.133269727054E-03
  0.854142845702E+01    0.293804585934E+00    0.498672425067E+00    0.291459469782E-01    0.132579614394E-03
  0.855662672829E+01    0.263759613037E+00    0.446834154911E+00    0.291640911084E-01    0.133153619440E-03
  0.857182499957E+01    0.233352899551E+00    0.394573654289E+00    0.291827053998E-01    0.133401090002E-03
  0.858702327084E+01    0.201803296804E+00    0.340577133895E+00    0.292022435154E-01    0.132535094154E-03
  0.860222154212E+01    0.168109193444E+00    0.283169559394E+00    0.292208918703E-01    0.133822070449E-03
  0.861741981340E+01    0.132864296436E+00    0.223370996554E+00    0.292408854963E-01    0.133142199481E-03
  0.863261808467E+01    0.986080989242E-01    0.165458840587E+00    0.292608624652E-01    0.133477437887E-03
  0.864781635595E+01    0.686793997884E-01    0.115016007651E+00    0.292809916180E-01    0.133832454839E-03
  0.866301462722E+01    0.457685999572E-01    0.764978680242E-01    0.293021210203E-01    0.132946708514E-03
  0.867821289850E+01    0.310485009104E-01    0.517926031592E-01    0.293221796221E-01    0.134778250862E-03
  0.869341116978E+01    0.240668002516E-01    0.400669554383E-01    0.293443079830E-01    0.133152728877E-03
  0.870860944105E+01    0.231228005141E-01    0.384188878069E-01    0.293655455259E-01    0.134128311903E-03
  0.872380771233E+01    0.256856996566E-01    0.425919570181E-01    0.293873279349E-01    0.134370195922E-03
  0.873900598360E+01    0.288901999593E-01    0.478094832389E-01    0.294101157215E-01    0.133347264623E-03
  0.875420425488E+01    0.307024996728E-01    0.507060760211E-01    0.294316328352E-01    0.135568682116E-03
  0.876940252615E+01    0.315040014684E-01    0.519242468120E-01    0.294556111746E-01    0.133468754205E-03
  0.878460079743E+01    0.343076996505E-01    0.564299610227E-01    0.294782421210E-01    0.134935001806E-03
  0.879979906871E+01    0.425194017589E-01    0.697934070069E-01    0.295014361059E-01    0.135587505850E-03
  0.881499733998E+01    0.570846982300E-01    0.935085875950E-01    0.295269799252E-01    0.132713578114E-03
  0.883019561126E+01    0.758621990681E-01    0.124010132918E+00    0.295488250337E-01    0.137641542834E-03
  0.884539388253E+01    0.953181982040E-01    0.155490171763E+00    0.295758926987E-01    0.132702398975E-03
  0.886059215381E+01    0.112148001790E+00    0.182561603290E+00    0.295995428577E-01    0.135911676857E-03
  0.887579042509E+01    0.123638398945E+00    0.200843350063E+00    0.296241117233E-01    0.136617799588E-03
  0.889098869636E+01    0.127931594849E+00    0.207378378389E+00    0.296520272122E-01    0.132536407696E-03
  0.890618696764E+01    0.124960899353E+00    0.202132786562E+00    0.296746092375E-01    0.139285602207E-03
  0.892138523891E+01    0.116885900497E+00    0.188667496033E+00    0.297042075748E-01    0.132752025730E-03
  0.893658351019E+01    0.106893502176E+00    0.172168609128E+00    0.297290410759E-01    0.136994105908E-03
  0.895178178146E+01    0.971485972404E-01    0.156135718261E+00    0.297559041109E-01    0.136725110488E-03
  0.896698005274E+01    0.875457003713E-01    0.140397369634E+00    0.297848006640E-01    0.134154858621E-03
  0.898217832402E+01    0.759681016207E-01    0.121565176654E+00    0.298105120145E-01    0.138256197650E-03
  0.899737659529E+01    0.596458017826E-01    0.952372593173E-01    0.298402933930E-01    0.134694152821E-03
  0.901257486657E+01    0.367396995425E-01    0.585338419852E-01    0.298673970032E-01    0.137511813635E-03
  0.902777313784E+01    0.723729981109E-02    0.115050294297E-01    0.298964768774E-01    0.136834740155E-03
  0.904297140912E+01    0.271522998810E-01    0.430678150010E-01    0.299262222509E-01    0.135884473606E-03
  0.905816968040E+01    0.634765028954E-01    0.100459163098E+00    0.299545986792E-01    0.137940605717E-03
  0.907336795167E+01    0.978870019317E-01    0.154570718883E+00    0.299851672257E-01    0.136570451904E-03
  0.908856622295E+01    0.126470506191E+00    0.199256442654E+00    0.300149529147E-01    0.137550223426E-03
  0.910376449422E+01    0.147017896175E+00    0.231105087689E+00    0.300454420716E-01    0.137624264138E-03
  0.911896276550E+01    0.160334303975E+00    0.251464800265E+00    0.300766929373E-01    0.137268676813E-03
  0.913416103677E+01    0.169244304299E+00    0.264832641516E+00    0.301075761951E-01    0.138334295208E-03
  0.914935930805E+01    0.175914704800E+00    0.274638573916E+00    0.301397776518E-01    0.137337777652E-03
  0.916455757933E+01    0.180211097002E+00    0.280697209032E+00    0.301715950873E-01    0.138037250775E-03
  0.917975585060E+01    0.180368497968E+00    0.280291318764E+00    0.302035022483E-01    0.139086036995E-03
  0.919495412188E+01    0.174491897225E+00    0.270527754871E+00    0.302373964120E-01    0.137037946984E-03
  0.921015239315E+01    0.161248907447E+00    0.249411314075E+00    0.302692529268E-01    0.139812428808E-03
  0.922535066443E+01    0.140035793185E+00    0.216090872012E+00    0.303034977660E-01    0.138385753189E-03
  0.924054893570E+01    0.111483201385E+00    0.171624772387E+00    0.303376415762E-01    0.138328139914E-03
  0.925574720698E+01    0.779099985957E-01    0.119655339835E+00    0.303709096390E-01    0.140426574720E-03
  0.927094547826E+01    0.427889004350E-01    0.655591807464E-01    0.304068889133E-01    0.137950989341E-03
  0.928614374953E+01    0.929789990187E-02    0.142116959783E-01    0.304414774130E-01    0.139359900477E-03
  0.930134202081E+01    0.210768003017E-01    0.321380490348E-01    0.304757952740E-01    0.141428315571E-03
  0.931654029208E+01    0.490650981665E-01    0.746339472919E-01    0.305138775213E-01    0.137065323056E-03
  0.933173856336E+01    0.769629031420E-01    0.116785575489E+00    0.305477804251E-01    0.142607056974E-03
  0.934693683464E+01    0.107128001750E+00    0.162162299349E+00    0.305854487006E-01    0.139680619944E-03
  0.936213510591E+01    0.140620499849E+00    0.212338987818E+00    0.306240880367E-01    0.137752776592E-03
  0.937733337719E+01    0.176864996552E+00    0.266411083870E+00    0.306567531550E-01    0.146401175808E-03
  0.939253164846E+01    0.214030802250E+00    0.321596296636E+00    0.307008132736E-01    0.134249686205E-03
  0.940772991974E+01    0.249265193939E+00    0.373607696160E+00    0.307339601646E-01    0.145618828867E-03
  0.942292819101E+01    0.278983503580E+00    0.417106688166E+00    0.307745665410E-01    0.140520491580E-03
  0.943812646229E+01    0.300165891647E+00    0.447650893860E+00    0.308152923418E-01    0.138581118274E-03
  0.945332473357E+01    0.312198400497E+00    0.464422541385E+00    0.308506228039E-01    0.146336115270E-03
  0.946852300484E+01    0.317245602608E+00    0.470736348395E+00    0.308947446892E-01    0.137779678813E-03
  0.948372127612E+01    0.318401604891E+00    0.471250548428E+00    0.309328314961E-01    0.143433741723E-03
  0.949891954739E+01    0.317531496286E+00    0.468762547820E+00    0.309731198088E-01    0.143530511112E-03
  0.951411781867E+01    0.314878106117E+00    0.463652922500E+00    0.310166438766E-01    0.139464509594E-03
  0.952931608995E+01    0.310066014528E+00    0.455390636430E+00    0.310551415758E-01    0.145773232307E-03
  0.954451436122E+01    0.302800595760E+00    0.443568794788E+00    0.310995825193E-01    0.140645547239E-03
  0.955971263250E+01    0.292824387550E+00    0.427839383545E+00    0.311410865301E-01    0.143468030029E-03
  0.957491090377E+01    0.279984503984E+00    0.408010818335E+00    0.311832227253E-01    0.144276386997E-03
  0.959010917505E+01    0.264708399773E+00    0.384737456350E+00    0.312281892107E-01    0.141488997817E-03
  0.960530744632E+01    0.248196199536E+00    0.359787292910E+00    0.312694381768E-01    0.146465482901E-03
  0.962050571760E+01    0.231902197003E+00    0.335277471247E+00    0.313161452938E-01    0.141386555357E-03
  0.963570398888E+01    0.216703593731E+00    0.312470694542E+00    0.313593040679E-01    0.145233462964E-03
  0.965090226015E+01    0.202366098762E+00    0.291017729723E+00    0.314037926763E-01    0.145701651093E-03
  0.966610053143E+01    0.187644094229E+00    0.269122447791E+00    0.314519428386E-01    0.141204824461E-03
  0.968129880270E+01    0.170997396111E+00    0.244586603548E+00    0.314939106661E-01    0.149286277492E-03
  0.969649707398E+01    0.151391804218E+00    0.215957590934E+00    0.315437604802E-01    0.141634812041E-03
  0.971169534526E+01    0.128504797816E+00    0.182811356971E+00    0.315894705244E-01    0.145956957430E-03
  0.972689361653E+01    0.102501399815E+00    0.145420659836E+00    0.316343854657E-01    0.149227535331E-03
  0.974209188781E+01    0.742657035589E-01    0.105073173175E+00    0.316875922727E-01    0.139492714130E-03
  0.975729015908E+01    0.460723005235E-01    0.650047980956E-01    0.317293473237E-01    0.152777260204E-03
  0.977248843036E+01    0.213259998709E-01    0.300062416147E-01    0.317824759428E-01    0.142766320572E-03
  0.978768670163E+01    0.271499995142E-02    0.380945994479E-02    0.318314120597E-01    0.145274734696E-03
  0.980288497291E+01    0.965369958431E-02    0.135074520861E-01    0.318766181815E-01    0.153380538226E-03
  0.981808324419E+01    0.181935001165E-01    0.253849699054E-01    0.319336812709E-01    0.139495877286E-03
  0.983328151546E+01    0.261466000229E-01    0.363790211465E-01    0.319800537328E-01    0.151562401162E-03
  0.984847978674E+01    0.361463017762E-01    0.501498550483E-01    0.320288013384E-01    0.152749122198E-03
  0.986367805801E+01    0.497899018228E-01    0.688829480920E-01    0.320920487915E-01    0.132989336794E-03
  0.987887632929E+01    0.673789978027E-01    0.929510388761E-01    0.321242511161E-01    0.171576575610E-03
  0.989407460057E+01    0.874458998442E-01    0.120288187415E+00    0.321982087308E-01    0.126335241575E-03
  0.990927287184E+01    0.106963798404E+00    0.146713048336E+00    0.322378323329E-01    0.163607691631E-03
  0.992447114312E+01    0.122787803411E+00    0.167930699385E+00    0.322892311466E-01    0.158552060509E-03
  0.993966941439E+01    0.133362501860E+00    0.181863721318E+00    0.323629854944E-01    0.127465028422E-03
  0.995486768567E+01    0.139315992594E+00    0.189428490084E+00    0.323879558344E-01    0.180927436003E-03
  0.997006595694E+01    0.142658606172E+00    0.193405481616E+00    0.324695768296E-01    0.126163145452E-03
  0.998526422822E+01    0.145363107324E+00    0.196492489047E+00    0.325122714201E-01    0.159718108885E-03
  0.100004624995E+02    0.148248896003E+00    0.199801449183E+00    0.325651723601E-01    0.159545258690E-03
  0.100156607708E+02    0.150687202811E+00    0.202485246233E+00    0.326344133243E-01    0.136757008187E-03
  0.100308590420E+02    0.151076495647E+00    0.202403576042E+00    0.326812360949E-01    0.159568511122E-03
  0.100460573133E+02    0.147565007210E+00    0.197107580330E+00    0.327402663690E-01    0.153780135224E-03
  0.100612555846E+02    0.138619899750E+00    0.184602920412E+00    0.328050841075E-01    0.142807941087E-03
  0.100764538559E+02    0.123623400927E+00    0.164134953661E+00    0.328565329913E-01    0.159685393594E-03
  0.100916521272E+02    0.103586301208E+00    0.137114839016E+00    0.329177442046E-01    0.152431663315E-03
  0.101068503984E+02    0.812041983008E-01    0.107160980062E+00    0.329840948304E-01    0.144010463381E-03
  0.101220486697E+02    0.594566985965E-01    0.782220772544E-01    0.330305442310E-01    0.170111639185E-03
  0.101372469410E+02    0.395337007940E-01    0.518514210475E-01    0.331095006173E-01    0.133180484999E-03
  0.101524452123E+02    0.200203005224E-01    0.261771691770E-01    0.331568948261E-01    0.169730673335E-03
  0.101676434835E+02    0.192049995530E-02    0.250333816169E-02    0.332214371500E-01    0.155736839982E-03
  0.101828417548E+02    0.286835990846E-01    0.372723012722E-01    0.332983124474E-01    0.141238748090E-03
  0.101980400261E+02    0.611427985132E-01    0.792025957690E-01    0.333319650887E-01    0.188682924692E-03
  0.102132382974E+02    0.983040034771E-01    0.126940737569E+00    0.334346609676E-01    0.113537072367E-03
  0.102284365686E+02    0.137068793178E+00    0.176440491928E+00    0.334617341538E-01    0.194637943447E-03
  0.102436348399E+02    0.172462999821E+00    0.221299071635E+00    0.335532643325E-01    0.133663005129E-03
  0.102588331112E+02    0.199040696025E+00    0.254591340062E+00    0.336093944831E-01    0.168988098868E-03
  0.102740313825E+02    0.212940499187E+00    0.271501468911E+00    0.336655794240E-01    0.173240812791E-03
  0.102892296537E+02    0.213073298335E+00    0.270800319932E+00    0.337592554245E-01    0.130536538979E-03
  0.103044279250E+02    0.200702995062E+00    0.254257786160E+00    0.337919398845E-01    0.193307239120E-03
  0.103196261963E+02    0.178162693977E+00    0.224973545880E+00    0.338932865161E-01    0.125668360151E-03
  0.103348244676E+02    0.147824406624E+00    0.186058317279E+00    0.339413594721E-01    0.176260269850E-03
  0.103500227388E+02    0.111716799438E+00    0.140153405518E+00    0.340131039902E-01    0.161672746195E-03
  0.103652210101E+02    0.715008974075E-01    0.894072684584E-01    0.340947693631E-01    0.144502096409E-03
  0.103804192814E+02    0.284247994423E-01    0.354265468012E-01    0.341483293883E-01    0.176705606992E-03
  0.103956175527E+02    0.168245993555E-01    0.208997028540E-01    0.342328075607E-01    0.148978548638E-03
  0.104108158239E+02    0.640655010939E-01    0.793190382494E-01    0.343026914478E-01    0.157855478309E-03
  0.104260140952E+02    0.113033697009E+00    0.139480281570E+00    0.343666379251E-01    0.172162427111E-03
  0.104412123665E+02    0.162583500147E+00    0.199952498712E+00    0.344529952228E-01    0.144753454743E-03
  0.104564106378E+02    0.210552096367E+00    0.258076943868E+00    0.345170493255E-01    0.171996730889E-03
  0.104716089090E+02    0.254594713449E+00    0.311008350610E+00    0.345901744542E-01    0.167755138904E-03
  0.104868071803E+02    0.293143302202E+00    0.356885916089E+00    0.346836584076E-01    0.138396537601E-03
  0.105020054516E+02    0.325599610806E+00    0.395051561930E+00    0.347301952437E-01    0.197254943410E-03
  0.105172037229E+02    0.352042496204E+00    0.425675985446E+00    0.348343714244E-01    0.134377818118E-03
  0.105324019942E+02    0.373204797506E+00    0.449716768041E+00    0.349000239503E-01    0.180449911280E-03
  0.105476002654E+02    0.390456110239E+00    0.468884110478E+00    0.349628364275E-01    0.189016768192E-03
  0.105627985367E+02    0.404886513948E+00    0.484531068128E+00    0.350819459971E-01    0.123603486677E-03
  0.105779968080E+02    0.415764898062E+00    0.495820788512E+00    0.351110487587E-01    0.216935869420E-03
  0.105931950793E+02    0.420029014349E+00    0.499158344448E+00    0.352349579386E-01    0.123589074525E-03
  0.106083933505E+02    0.413742810488E+00    0.489965101421E+00    0.352924676313E-01    0.192346219429E-03
  0.106235916218E+02    0.394377708435E+00    0.465389060700E+00    0.353721302484E-01    0.175025711121E-03
  0.106387898931E+02    0.362079799175E+00    0.425765710601E+00    0.354772980489E-01    0.147665602974E-03
  0.106539881644E+02    0.319413691759E+00    0.374262152365E+00    0.355257022331E-01    0.201726364350E-03
  0.106691864356E+02    0.270385503769E+00    0.315685891554E+00    0.356461741771E-01    0.131589534155E-03
  0.106843847069E+02    0.219382196665E+00    0.255220700490E+00    0.357030243705E-01    0.192609691200E-03
  0.106995829782E+02    0.169990494847E+00    0.197049450876E+00    0.358012393949E-01    0.158788922210E-03
  0.107147812495E+02    0.123814098537E+00    0.143004618372E+00    0.358879935602E-01    0.167253238062E-03
  0.107299795207E+02    0.800013989210E-01    0.920661924668E-01    0.359663152693E-01    0.178062407146E-03
  0.107451777920E+02    0.360691994429E-01    0.413575664383E-01    0.360656552388E-01    0.156831004093E-03
  0.107603760633E+02    0.103230001405E-01    0.117932492748E-01    0.361449464435E-01    0.179415738938E-03
  0.107755743346E+02    0.597455017269E-01    0.680040844286E-01    0.362377068230E-01    0.168003901352E-03
  0.107907726058E+02    0.110481001437E+00    0.125288947913E+00    0.363315350186E-01    0.165268063335E-03
  0.108059708771E+02    0.159221693873E+00    0.179893667516E+00    0.364150131299E-01    0.179301094319E-03
  0.108211691484E+02    0.202243804932E+00    0.227651442356E+00    0.365124512969E-01    0.166525656829E-03
  0.108363674197E+02    0.236264094710E+00    0.264952170029E+00    0.366071769715E-01    0.169857050455E-03
  0.108515656909E+02    0.258889108896E+00    0.289235175090E+00    0.366888976496E-01    0.187544214939E-03
  0.108667639622E+02    0.269050091505E+00    0.299454612763E+00    0.368060346451E-01    0.144500472042E-03
  0.108819622335E+02    0.267356097698E+00    0.296443150007E+00    0.368753438639E-01    0.206633918627E-03
  0.108971605048E+02    0.255679905415E+00    0.282419237484E+00    0.369856316918E-01    0.164126271509E-03
  0.109123587760E+02    0.235856100917E+00    0.259527869514E+00    0.370929048144E-01    0.169282130308E-03
  0.109275570473E+02    0.208621501923E+00    0.228679892756E+00    0.371585929958E-01    0.213605514936E-03
  0.109427553186E+02    0.173926204443E+00    0.189914767945E+00    0.373052406932E-01    0.120589463229E-03
  0.109579535899E+02    0.132180899382E+00    0.143773871714E+00    0.373530204394E-01    0.232443465365E-03
  0.109731518611E+02    0.850175991654E-01    0.921149995526E-01    0.374855145786E-01    0.153930076384E-03
  0.109883501324E+02    0.350725986063E-01    0.378523093173E-01    0.375869479305E-01    0.184269336427E-03
  0.110035484037E+02    0.143892997876E-01    0.154689074300E-01    0.376656310152E-01    0.202715156619E-03
  0.110187466750E+02    0.594936013222E-01    0.637057114007E-01    0.378041044949E-01    0.149382592365E-03
  0.110339449463E+02    0.960830971599E-01    0.102479213337E+00    0.378717431096E-01    0.217041994437E-03
  0.110491432175E+02    0.120961099863E+00    0.128501353177E+00    0.380061957962E-01    0.152788599098E-03
  0.110643414888E+02    0.133288100362E+00    0.141032434420E+00    0.381035080242E-01    0.183033128926E-03
  0.110795397601E+02    0.134788706899E+00    0.142049335119E+00    0.381949679430E-01    0.201658625378E-03
  0.110947380314E+02    0.128588303924E+00    0.134970116503E+00    0.383295335227E-01    0.150869129802E-03
  0.111099363026E+02    0.117786802351E+00    0.123133318071E+00    0.384159944339E-01    0.210281697320E-03
  0.111251345739E+02    0.104688003659E+00    0.108996100723E+00    0.385202167471E-01    0.202945808429E-03
  0.111403328452E+02    0.905088037252E-01    0.938495542240E-01    0.386896429991E-01    0.126629041662E-03
  0.111555311165E+02    0.750666037202E-01    0.775189196956E-01    0.387063007895E-01    0.288117015378E-03
  0.111707293877E+02    0.566261000931E-01    0.582357022062E-01    0.389043258575E-01    0.107485306954E-03
  0.111859276590E+02    0.325738005340E-01    0.333614513903E-01    0.389770436816E-01    0.285836897081E-03
  0.112011259303E+02    0.100179994479E-02    0.102177064298E-02    0.390615508467E-01    0.281367889295E-03
  0.112163242016E+02    0.377536006272E-01    0.383458823813E-01    0.393043632809E-01    0.194744152893E-03
  0.112315224728E+02    0.808074995875E-01    0.817319667239E-01    0.392155478514E-01    0.412620655261E-03
  0.112467207441E+02    0.123892299831E+00    0.124783295744E+00    0.395790861766E-01    0.930643526517E-04
  0.112619190154E+02    0.163023397326E+00    0.163503034966E+00    0.394358826967E-01    0.518242619279E-03
  0.112771172867E+02    0.195522204041E+00    0.195266410501E+00    0.397610879027E-01    0.290521870661E-03
  0.112923155579E+02    0.220185697079E+00    0.218961586458E+00    0.397665715045E-01    0.515219116208E-03
  0.113075138292E+02    0.237124696374E+00    0.234798177167E+00    0.399411260803E-01    0.350947776605E-03
  0.113227121005E+02    0.247448995709E+00    0.243968875080E+00    0.399883774119E-01    0.467750530514E-03
  0.113379103718E+02    0.252416104078E+00    0.247792535726E+00    0.402970017421E-01    0.254494642440E-03
  0.113531086430E+02    0.252162605524E+00    0.246471019934E+00    0.400296414975E-01    0.743227060092E-03
  0.113683069143E+02    0.245160803199E+00    0.238584247801E+00    0.407356768696E-01    0.476816713018E-03
  0.113835051856E+02    0.229294106364E+00    0.222167565460E+00    0.399707345590E-01    0.115691829207E-02
  0.113987034569E+02    0.203751504421E+00    0.196551810355E+00    0.413759270941E-01    0.115546876689E-02
  0.114139017281E+02    0.169943898916E+00    0.163215588509E+00    0.399830157605E-01    0.152161065523E-02
  0.114290999994E+02    0.130778595805E+00    0.125044294045E+00    0.414037244604E-01    0.105228893361E-02
  0.114442982707E+02    0.893730968237E-01    0.850739171540E-01    0.406953049273E-01    0.120649050379E-02
  0.114594965420E+02    0.483816005290E-01    0.458483251133E-01    0.409857077123E-01    0.107494710757E-02
  0.114746948133E+02    0.979899987578E-02    0.924420921184E-02    0.416719875799E-01    0.559914371891E-03
  0.114898930845E+02    0.254219993949E-01    0.238744611879E-01    0.408182829448E-01    0.996713866988E-03
  0.115050913558E+02    0.577072016895E-01    0.539486752274E-01    0.417020539699E-01    0.843857933762E-03
  0.115202896271E+02    0.883051007986E-01    0.821777844173E-01    0.421515396553E-01    0.595905647298E-03
  0.115354878984E+02    0.117895402014E+00    0.109212987473E+00    0.416447729451E-01    0.775353664631E-03
  0.115506861696E+02    0.145559996367E+00    0.134220573611E+00    0.424550199577E-01    0.581567424185E-03
  0.115658844409E+02    0.168975099921E+00    0.155092284320E+00    0.430359866668E-01    0.316606932162E-03
  0.115810827122E+02    0.185308694839E+00    0.169295117522E+00    0.426717140330E-01    0.360763979924E-03
  0.115962809835E+02    0.191800206900E+00    0.174409255505E+00    0.426880191099E-01    0.279659130653E-03
  0.116114792547E+02    0.185910701752E+00    0.168262473829E+00    0.428863956635E-01    0.189787394397E-03
  0.116266775260E+02    0.165788099170E+00    0.149344485508E+00    0.430201516422E-01    0.181242785374E-03
  0.116418757973E+02    0.131325304508E+00    0.117740990671E+00    0.431305047195E-01    0.236062317020E-03
  0.116570740686E+02    0.849616006017E-01    0.758116221308E-01    0.432901527776E-01    0.226612079605E-03
  0.116722723398E+02    0.312105994672E-01    0.277165636961E-01    0.434691351383E-01    0.207719689927E-03
  0.116874706111E+02    0.249786991626E-01    0.220760582932E-01    0.436268312765E-01    0.212279930137E-03
  0.117026688824E+02    0.798237025738E-01    0.702082618949E-01    0.438098786666E-01    0.184945852045E-03
  0.117178671537E+02    0.131255194545E+00    0.114886135304E+00    0.439502298537E-01    0.238322528205E-03
  0.117330654249E+02    0.178514897823E+00    0.155492845198E+00    0.441097968786E-01    0.224099934571E-03
  0.117482636962E+02    0.221535995603E+00    0.192023798050E+00    0.443267268926E-01    0.161517133139E-03
  0.117634619675E+02    0.260383814573E+00    0.224589506223E+00    0.444028276333E-01    0.344868276156E-03
  0.117786602388E+02    0.294507890940E+00    0.252770838807E+00    0.447167849179E-01    0.574837521304E-04
  0.117938585100E+02    0.321983993053E+00    0.274984767351E+00    0.447108388618E-01    0.504081610026E-03
  0.118090567813E+02    0.339652508497E+00    0.288631142449E+00    0.449637463633E-01    0.333930179882E-03
  0.118242550526E+02    0.344609409571E+00    0.291379577448E+00    0.452749748713E-01    0.227768657333E-03
  0.118394533239E+02    0.336005091667E+00    0.282677330657E+00    0.452574904310E-01    0.435958075437E-03
  0.118546515951E+02    0.315487295389E+00    0.264076401978E+00    0.454303778048E-01    0.397840670247E-03
  0.118698498664E+02    0.285945504904E+00    0.238134850931E+00    0.458864514286E-01    0.303057869638E-03
  0.118850481377E+02    0.249901503325E+00    0.207056947744E+00    0.456903877894E-01    0.595469028540E-03
  0.119002464090E+02    0.208841904998E+00    0.172150799516E+00    0.463622640260E-01    0.404823234752E-03
  0.119154446803E+02    0.163376703858E+00    0.133980349886E+00    0.461188552626E-01    0.630067010897E-03
  0.119306429515E+02    0.113445699215E+00    0.925523880902E-01    0.462968527966E-01    0.676558548437E-03
  0.119458412228E+02    0.585732012987E-01    0.475374758617E-01    0.469875454027E-01    0.386316157948E-03
  0.119610394941E+02    0.126980000641E-02    0.102517712464E-02    0.468118744576E-01    0.618582081434E-03
  0.119762377654E+02    0.644443035126E-01    0.517563109318E-01    0.476698471779E-01    0.103190885206E-02
  0.119914360366E+02    0.127246394753E+00    0.101654859297E+00    0.474132055668E-01    0.825385364621E-03
  0.120066343079E+02    0.184939503670E+00    0.146961918521E+00    0.473095402013E-01    0.258489029961E-02
  0.120218325792E+02    0.233333200216E+00    0.184430450497E+00    0.463197063665E-01    0.107932503493E-02
  0.120370308505E+02    0.269659996033E+00    0.212002986969E+00    0.475943394312E-01    0.199087891102E-02
  0.120522291217E+02    0.292620807886E+00    0.228817024484E+00    0.510460965127E-01    0.460556907835E-02
  0.120674273930E+02    0.302359193563E+00    0.235153901528E+00    0.522123086278E-01    0.233108135911E-02
  0.120826256643E+02    0.300617188215E+00    0.232528832133E+00    0.473649901708E-01    0.495112224577E-02
  0.120978239356E+02    0.290427714586E+00    0.223420521347E+00    0.467299063532E-01    0.127365214126E-02
  0.121130222068E+02    0.274940401316E+00    0.210345621092E+00    0.454740779184E-01    0.665281188304E-02
  0.121282204781E+02    0.256072998047E+00    0.194830261644E+00    0.560239027276E-01    0.171616397762E-01
  0.121434187494E+02    0.234076499939E+00    0.177107053144E+00    0.447768718884E-01    0.104509969120E-01
  0.121586170207E+02    0.208205997944E+00    0.156655009100E+00    0.511768394875E-01    0.115750882056E-01
  0.121738152919E+02    0.177675202489E+00    0.132934700650E+00    0.397355826892E-01    0.187873170344E-01
  0.121890135632E+02    0.142160907388E+00    0.105764421516E+00    0.523054047826E-01    0.737759285935E-02
  0.122042118345E+02    0.101993203163E+00    0.754511347053E-01    0.515470840470E-01    0.555846588181E-02
  0.122194101058E+02    0.584762990475E-01    0.430127001073E-01    0.477314616653E-01    0.103251476224E-01
  0.122346083770E+02    0.141542004421E-01    0.103516954985E-01    0.490662945338E-01    0.725857740580E-02
  0.122498066483E+02    0.276526007801E-01    0.201075135048E-01    0.517601248570E-01    0.433045895105E-02
  0.122650049196E+02    0.640920028090E-01    0.463350106248E-01    0.493537274285E-01    0.271552720409E-02
  0.122802031909E+02    0.938090980053E-01    0.674248676200E-01    0.515847473468E-01    0.144885447981E-02
  0.122954014621E+02    0.116780601442E+00    0.834453471265E-01    0.507403968408E-01    0.173260575047E-02
  0.123105997334E+02    0.133224204183E+00    0.946361929938E-01    0.512504873238E-01    0.113095556296E-02
  0.123257980047E+02    0.142758995295E+00    0.100810698626E+00    0.520793671745E-01    0.273494731359E-03
  0.123409962760E+02    0.144410103559E+00    0.101371509609E+00    0.522692349668E-01    0.153450405046E-03
  0.123561945473E+02    0.136955305934E+00    0.955649060607E-01    0.528017705033E-01    0.396645540775E-03
  0.123713928185E+02    0.119103498757E+00    0.826097388280E-01    0.529069502641E-01    0.125665378144E-02
  0.123865910898E+02    0.898888036609E-01    0.619705377429E-01    0.523071149225E-01    0.136342507156E-02
  0.124017893611E+02    0.497483983636E-01    0.340892420223E-01    0.526293423096E-01    0.102270602947E-02
  0.124169876324E+02    0.162350002211E-02    0.110569315385E-02    0.532076814276E-01    0.105674601186E-02
