               Omega               SigmaT1               SigmaT2           SigmaOmega1           SigmaOmega2
  0.170220638289E+01    0.636776015162E-01    0.672456404891E-01    0.219009238903E+00    0.437893434649E+00
  0.171740465417E+01    0.718794986606E-01    0.764543956458E-01    0.313320309493E+00    0.420051797084E+00
  0.173260292544E+01    0.825792029500E-01    0.884612770759E-01    0.474723411739E-01    0.317453011133E+00
  0.174780119672E+01    0.942007973790E-01    0.101622035053E+00    0.208860198130E+00    0.242391552957E+00
  0.176299946800E+01    0.104387499392E+00    0.113396290997E+00    0.128207304078E+00    0.192838411035E+00
  0.177819773927E+01    0.110832802951E+00    0.121227883759E+00    0.769580269225E-01    0.144545689812E+00
  0.179339601055E+01    0.112328499556E+00    0.123701611188E+00    0.131356540581E+00    0.776836312044E-01
  0.180859428182E+01    0.109275996685E+00    0.121151620348E+00    0.833295084198E-01    0.251993546017E-01
  0.182379255310E+01    0.103326700628E+00    0.115319947016E+00    0.985542749180E-01    0.232266098546E-01
  0.183899082438E+01    0.965635031462E-01    0.108482871323E+00    0.856982383833E-01    0.148993050338E-01
  0.185418909565E+01    0.908302962780E-01    0.102708059693E+00    0.687157688264E-01    0.372179430204E-01
  0.186938736693E+01    0.873584970832E-01    0.994201475982E-01    0.997722971805E-01    0.216030086268E-01
  0.188458563820E+01    0.864745005965E-01    0.990428317744E-01    0.889467231191E-01    0.136567653994E-01
  0.189978390948E+01    0.873965993524E-01    0.100731659241E+00    0.860642196124E-01    0.114546151723E-01
  0.191498218075E+01    0.884621962905E-01    0.102597506731E+00    0.100885032035E+00    0.198187357587E-01
  0.193018045203E+01    0.878823027015E-01    0.102555687555E+00    0.826660595046E-01    0.157606876632E-01
  0.194537872331E+01    0.844923034310E-01    0.992034376784E-01    0.809922943212E-01    0.270037221984E-01
  0.196057699458E+01    0.778796002269E-01    0.919934611553E-01    0.117865883087E+00    0.663222348006E-01
  0.197577526586E+01    0.679785013199E-01    0.807795311993E-01    0.453178201727E-01    0.689965653784E-01
  0.199097353713E+01    0.548302009702E-01    0.655419398839E-01    0.958991101261E-01    0.451782194679E-01
  0.200617180841E+01    0.388452000916E-01    0.467068009196E-01    0.703601527349E-01    0.468868579414E-01
  0.202137007969E+01    0.210379008204E-01    0.254426554209E-01    0.730234427437E-01    0.791251998551E-01
  0.203656835096E+01    0.259730010293E-02    0.315917563132E-02    0.739271680734E-01    0.294550797466E-01
  0.205176662224E+01    0.159485004842E-01    0.195091248147E-01    0.709568146405E-01    0.183678410495E-01
  0.206696489351E+01    0.350212007761E-01    0.430814481916E-01    0.935750892872E-01    0.244788871626E-01
  0.208216316479E+01    0.553268007934E-01    0.684402403944E-01    0.775799731216E-01    0.124914161830E-01
  0.209736143606E+01    0.769385993481E-01    0.957001593904E-01    0.708717242175E-01    0.109494115691E-01
  0.211255970734E+01    0.990462973714E-01    0.123872551820E+00    0.717653920668E-01    0.373362331216E-02
  0.212775797862E+01    0.120368801057E+00    0.151354585740E+00    0.677230384300E-01    0.704133015507E-02
  0.214295624989E+01    0.139505892992E+00    0.176358209231E+00    0.738174057790E-01    0.983964631743E-02
  0.215815452117E+01    0.154950395226E+00    0.196922013126E+00    0.716053415844E-01    0.132602058404E-01
  0.217335279244E+01    0.165324494243E+00    0.211210014460E+00    0.674274497300E-01    0.133244202891E-01
  0.218855106372E+01    0.170210093260E+00    0.218582759486E+00    0.771516269611E-01    0.129422644998E-01
  0.220374933500E+01    0.170832201838E+00    0.220511618952E+00    0.673311101246E-01    0.361945788499E-02
  0.221894760627E+01    0.169457405806E+00    0.219852582716E+00    0.624499149606E-01    0.777318214483E-02
  0.223414587755E+01    0.167616605759E+00    0.218562550023E+00    0.571301661200E-01    0.893787199012E-02
  0.224934414882E+01    0.164778903127E+00    0.215936810931E+00    0.674031786729E-01    0.356218172831E-02
  0.226454242010E+01    0.158865094185E+00    0.209217916402E+00    0.692068519974E-01    0.805128013553E-02
  0.227974069137E+01    0.148073300719E+00    0.195961908752E+00    0.646665426307E-01    0.424875025975E-02
  0.229493896265E+01    0.132156297565E+00    0.175746522041E+00    0.678473550984E-01    0.815673805897E-02
  0.231013723393E+01    0.112132303417E+00    0.149835008896E+00    0.600510905490E-01    0.758742841465E-02
  0.232533550520E+01    0.892373025417E-01    0.119809875443E+00    0.608627197035E-01    0.551762835233E-02
  0.234053377648E+01    0.644434019923E-01    0.869297556542E-01    0.668827640533E-01    0.979962385058E-02
  0.235573204775E+01    0.386875011027E-01    0.524306111077E-01    0.647204799069E-01    0.113742455061E-02
  0.237093031903E+01    0.129401003942E-01    0.176180071313E-01    0.670246246401E-01    0.612158468835E-02
  0.238612859031E+01    0.122552001849E-01    0.167619800545E-01    0.605229702047E-01    0.498553200109E-02
  0.240132686158E+01    0.370673015714E-01    0.509287194175E-01    0.620352004896E-01    0.179003968272E-02
  0.241652513286E+01    0.618494004011E-01    0.853602093244E-01    0.604736459565E-01    0.500836229885E-02
  0.243172340413E+01    0.862827003002E-01    0.119611635852E+00    0.635129720524E-01    0.390698071257E-02
  0.244692167541E+01    0.109205402434E+00    0.152056604927E+00    0.624153719138E-01    0.213605527490E-02
  0.246211994668E+01    0.129268199205E+00    0.180778290087E+00    0.615244357042E-01    0.112933173326E-02
  0.247731821796E+01    0.145527392626E+00    0.204397170788E+00    0.584111586340E-01    0.445696225377E-02
  0.249251648924E+01    0.157368496060E+00    0.221975900862E+00    0.620849351457E-01    0.551654814650E-02
  0.250771476051E+01    0.164283096790E+00    0.232713379642E+00    0.590348009182E-01    0.610527048751E-02
  0.252291303179E+01    0.166262701154E+00    0.236508347370E+00    0.580360620028E-01    0.626790684958E-02
  0.253811130306E+01    0.164491504431E+00    0.234963931117E+00    0.613517939961E-01    0.445327723981E-02
  0.255330957434E+01    0.161206200719E+00    0.231221734894E+00    0.574002138178E-01    0.332566370929E-02
  0.256850784562E+01    0.158399894834E+00    0.228125728237E+00    0.586281091838E-01    0.206697468729E-02
  0.258370611689E+01    0.156514704227E+00    0.226323915921E+00    0.582169508578E-01    0.695925280985E-03
  0.259890438817E+01    0.154396802187E+00    0.224157442061E+00    0.575084360093E-01    0.709941549476E-03
  0.261410265944E+01    0.150354698300E+00    0.219156938496E+00    0.575504444629E-01    0.555024946380E-03
  0.262930093072E+01    0.143077194691E+00    0.209370731251E+00    0.562871323941E-01    0.138273968032E-02
  0.264449920199E+01    0.131755203009E+00    0.193555179282E+00    0.562187229734E-01    0.147966891238E-02
  0.265969747327E+01    0.115969896317E+00    0.171024393729E+00    0.566318474281E-01    0.945290551017E-03
  0.267489574455E+01    0.959725975990E-01    0.142075851424E+00    0.567693344035E-01    0.104198404435E-02
  0.269009401582E+01    0.729478970170E-01    0.108400338126E+00    0.563957429889E-01    0.174656491611E-02
  0.270529228710E+01    0.484630018473E-01    0.722865977358E-01    0.544508536302E-01    0.188846500003E-02
  0.272049055837E+01    0.233410000801E-01    0.349447121772E-01    0.539091989782E-01    0.171785524818E-02
  0.273568882965E+01    0.277770007960E-02    0.417394732394E-02    0.539091997957E-01    0.156498241795E-02
  0.275088710093E+01    0.305378008634E-01    0.460557854763E-01    0.551388829771E-01    0.172059750826E-02
  0.276608537220E+01    0.596074014902E-01    0.902229053443E-01    0.555206465828E-01    0.169981268344E-02
  0.278128364348E+01    0.884876027703E-01    0.134417166026E+00    0.541209586902E-01    0.122031546878E-02
  0.279648191475E+01    0.115441098809E+00    0.175984365264E+00    0.532076814276E-01    0.105674601186E-02
  0.281168018603E+01    0.139226496220E+00    0.212991678931E+00    0.526293423096E-01    0.102270602947E-02
  0.282687845730E+01    0.158882498741E+00    0.243910124565E+00    0.523071149225E-01    0.136342507156E-02
  0.284207672858E+01    0.173447906971E+00    0.267191046526E+00    0.529069502641E-01    0.125665378144E-02
  0.285727499986E+01    0.182739496231E+00    0.282468816044E+00    0.528017705033E-01    0.396645540775E-03
  0.287247327113E+01    0.188616096973E+00    0.292542113896E+00    0.522692349668E-01    0.153450405046E-03
  0.288767154241E+01    0.194901004434E+00    0.303306492533E+00    0.520793671745E-01    0.273494731358E-03
  0.290286981368E+01    0.205294206738E+00    0.320544898181E+00    0.512504873238E-01    0.113095556296E-02
  0.291806808496E+01    0.220926403999E+00    0.346091572205E+00    0.507403968408E-01    0.173260575047E-02
  0.293326635624E+01    0.239763498306E+00    0.376829151344E+00    0.515847473468E-01    0.144885447981E-02
  0.294846462751E+01    0.258212685585E+00    0.407140161707E+00    0.493537274285E-01    0.271552720409E-02
  0.296366289879E+01    0.273275613785E+00    0.432274113527E+00    0.517601248570E-01    0.433045895105E-02
  0.297886117006E+01    0.283630907536E+00    0.450081369341E+00    0.490662945338E-01    0.725857740580E-02
  0.299405944134E+01    0.289567410946E+00    0.460949724535E+00    0.477314616653E-01    0.103251476224E-01
  0.300925771261E+01    0.292600810528E+00    0.467232637904E+00    0.515470840470E-01    0.555846588181E-02
  0.302445598389E+01    0.295056611300E+00    0.472611465843E+00    0.523054047826E-01    0.737759285935E-02
  0.303965425517E+01    0.299171000719E+00    0.480670254105E+00    0.397355826892E-01    0.187873170344E-01
  0.305485252644E+01    0.305714398623E+00    0.492674626415E+00    0.511768394875E-01    0.115750882056E-01
  0.307005079772E+01    0.313188403845E+00    0.506237519863E+00    0.447768718884E-01    0.104509969120E-01
  0.308524906899E+01    0.318593591452E+00    0.516509072472E+00    0.560239027276E-01    0.171616397762E-01
  0.310044734027E+01    0.319280594587E+00    0.519151023190E+00    0.454740779184E-01    0.665281188304E-02
  0.311564561155E+01    0.314252495766E+00    0.512469836692E+00    0.467299063532E-01    0.127365214126E-02
  0.313084388282E+01    0.303970396519E+00    0.497138564648E+00    0.473649901708E-01    0.495112224577E-02
  0.314604215410E+01    0.289352893829E+00    0.474590337038E+00    0.522123086278E-01    0.233108135911E-02
  0.316124042537E+01    0.271174997091E+00    0.446040203050E+00    0.510460965127E-01    0.460556907835E-02
  0.317643869665E+01    0.250033497810E+00    0.412424401638E+00    0.475943394312E-01    0.199087891102E-02
  0.319163696792E+01    0.226140201092E+00    0.374054011027E+00    0.463197063665E-01    0.107932503493E-02
  0.320683523920E+01    0.198736205697E+00    0.329634457255E+00    0.473095402013E-01    0.258489029961E-02
  0.322203351048E+01    0.165986493230E+00    0.276068081716E+00    0.474132055668E-01    0.825385364621E-03
  0.323723178175E+01    0.126102596521E+00    0.210302374621E+00    0.476698471779E-01    0.103190885206E-02
  0.325243005303E+01    0.791086032987E-01    0.132284668392E+00    0.468118744576E-01    0.618582081434E-03
  0.326762832430E+01    0.277542993426E-01    0.465340388568E-01    0.469875454027E-01    0.386316157948E-03
  0.328282659558E+01    0.232231002301E-01    0.390395211030E-01    0.462968527966E-01    0.676558548438E-03
  0.329802486686E+01    0.688183009624E-01    0.115990184984E+00    0.461188552626E-01    0.630067010897E-03
  0.331322313813E+01    0.105211697519E+00    0.177788481406E+00    0.463622640260E-01    0.404823234752E-03
  0.332842140941E+01    0.130439504981E+00    0.220983782196E+00    0.456903877894E-01    0.595469028540E-03
  0.334361968068E+01    0.144637599587E+00    0.245659511671E+00    0.458864514286E-01    0.303057869638E-03
  0.335881795196E+01    0.150130003691E+00    0.255629236067E+00    0.454303778048E-01    0.397840670247E-03
  0.337401622323E+01    0.150952905416E+00    0.257670535555E+00    0.452574904310E-01    0.435958075437E-03
  0.338921449451E+01    0.151380300522E+00    0.259037469935E+00    0.452749748713E-01    0.227768657333E-03
  0.340441276579E+01    0.154019206762E+00    0.264196958690E+00    0.449637463633E-01    0.333930179882E-03
  0.341961103706E+01    0.158849596977E+00    0.273142066916E+00    0.447108388618E-01    0.504081610026E-03
  0.343480930834E+01    0.163945302367E+00    0.282579664788E+00    0.447167849179E-01    0.574837521304E-04
  0.345000757961E+01    0.167028293014E+00    0.288576798321E+00    0.444028276333E-01    0.344868276157E-03
  0.346520585089E+01    0.166399195790E+00    0.288165568396E+00    0.443267268926E-01    0.161517133139E-03
  0.348040412217E+01    0.160878896713E+00    0.279254107135E+00    0.441097968786E-01    0.224099934571E-03
  0.349560239344E+01    0.149671196938E+00    0.260398540611E+00    0.439502298537E-01    0.238322528205E-03
  0.351080066472E+01    0.132785394788E+00    0.231547830255E+00    0.438098786666E-01    0.184945852045E-03
  0.352599893599E+01    0.111382201314E+00    0.194664443557E+00    0.436268312765E-01    0.212279930137E-03
  0.354119720727E+01    0.871203988791E-01    0.152602456432E+00    0.434691351383E-01    0.207719689927E-03
  0.355639547854E+01    0.608297996223E-01    0.106787239429E+00    0.432901527776E-01    0.226612079605E-03
  0.357159374982E+01    0.319302007556E-01    0.561767310847E-01    0.431305047195E-01    0.236062317019E-03
  0.358679202110E+01    0.620200007688E-03    0.109352577763E-02    0.430201516422E-01    0.181242785374E-03
  0.360199029237E+01    0.367509983480E-01    0.649380895376E-01    0.428863956635E-01    0.189787394397E-03
  0.361718856365E+01    0.746797993779E-01    0.132238327087E+00    0.426880191099E-01    0.279659130653E-03
  0.363238683492E+01    0.111750401556E+00    0.198297813298E+00    0.426717140330E-01    0.360763979924E-03
  0.364758510620E+01    0.145634993911E+00    0.258964394693E+00    0.430359866668E-01    0.316606932162E-03
  0.366278337748E+01    0.174772500992E+00    0.311418071670E+00    0.424550199577E-01    0.581567424185E-03
  0.367798164875E+01    0.198232606053E+00    0.353942871521E+00    0.416447729451E-01    0.775353664630E-03
  0.369317992003E+01    0.215947195888E+00    0.386352788410E+00    0.421515396553E-01    0.595905647298E-03
  0.370837819130E+01    0.229329407215E+00    0.411117273454E+00    0.417020539699E-01    0.843857933762E-03
  0.372357646258E+01    0.241122394800E+00    0.433115940217E+00    0.408182829448E-01    0.996713866988E-03
  0.373877473385E+01    0.253827214241E+00    0.456832141669E+00    0.416719875799E-01    0.559914371891E-03
  0.375397300513E+01    0.267838001251E+00    0.482985148331E+00    0.409857077123E-01    0.107494710757E-02
  0.376917127641E+01    0.281056612730E+00    0.507796635982E+00    0.406953049273E-01    0.120649050379E-02
  0.378436954768E+01    0.290251910686E+00    0.525408267720E+00    0.414037244604E-01    0.105228893361E-02
  0.379956781896E+01    0.292712807655E+00    0.530860939653E+00    0.399830157605E-01    0.152161065523E-02
  0.381476609023E+01    0.286973297596E+00    0.521421873783E+00    0.413759270941E-01    0.115546876689E-02
  0.382996436151E+01    0.272954910994E+00    0.496865583852E+00    0.399707345590E-01    0.115691829207E-02
  0.384516263279E+01    0.252369701862E+00    0.460232251429E+00    0.407356768696E-01    0.476816713018E-03
  0.386036090406E+01    0.229078605771E+00    0.418511922457E+00    0.400296414975E-01    0.743227060093E-03
  0.387555917534E+01    0.208256497979E+00    0.381150963201E+00    0.402970017421E-01    0.254494642441E-03
  0.389075744661E+01    0.194228306413E+00    0.356104842723E+00    0.399883774119E-01    0.467750530514E-03
  0.390595571789E+01    0.188523307443E+00    0.346249449087E+00    0.399411260803E-01    0.350947776604E-03
  0.392115398916E+01    0.189809203148E+00    0.349214146385E+00    0.397665715045E-01    0.515219116208E-03
  0.393635226044E+01    0.195580005646E+00    0.360447007525E+00    0.397610879027E-01    0.290521870662E-03
  0.395155053172E+01    0.203871995211E+00    0.376364701103E+00    0.394358826967E-01    0.518242619279E-03
  0.396674880299E+01    0.213693305850E+00    0.395155973597E+00    0.395790861766E-01    0.930643526515E-04
  0.398194707427E+01    0.224577799439E+00    0.415970762494E+00    0.392155478514E-01    0.412620655261E-03
  0.399714534554E+01    0.236433997750E+00    0.438648182435E+00    0.393043632809E-01    0.194744152893E-03
  0.401234361682E+01    0.249814897776E+00    0.464223676429E+00    0.390615508467E-01    0.281367889295E-03
  0.402754188810E+01    0.265610814095E+00    0.494366933055E+00    0.389770436816E-01    0.285836897081E-03
  0.404274015937E+01    0.283778607845E+00    0.529017736491E+00    0.389043258575E-01    0.107485306954E-03
  0.405793843065E+01    0.302329093218E+00    0.564481472114E+00    0.387063007895E-01    0.288117015378E-03
  0.407313670192E+01    0.317997097969E+00    0.594654041247E+00    0.386896429991E-01    0.126629041663E-03
  0.408833497320E+01    0.328235208988E+00    0.614738184798E+00    0.385202167471E-01    0.202945808429E-03
  0.410353324447E+01    0.332629293203E+00    0.623909657307E+00    0.384159944339E-01    0.210281697320E-03
  0.411873151575E+01    0.332542210817E+00    0.624678571301E+00    0.383295335227E-01    0.150869129802E-03
